SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,DAYS_BIRTH,DAYS_EMPLOYED,TARGET
1,37450.71229516849,176407.12258492995,52.88493150684931,-2.947945205479452,1
2,27926.03548243223,250635.12355078,44.68219178082192,-3.610958904109589,0
3,39715.32807151039,190090.6576348841,46.55068493150685,-5.402739726027397,0
4,52845.44784612038,204528.46323588197,22.632876712328766,-4.8,0
5,26487.69937914996,235869.53033188588,54.53972602739726,-4.167123287671233,0
6,26487.94564576229,197051.82965755297,36.93150684931507,-9.098630136986301,0
7,53688.192232610876,109107.60708350706,43.553424657534244,-6.619178082191781,0
8,41511.52093729363,252029.37522767737,50.40821917808219,-8.29041095890411,0
9,22957.884210975717,262746.44149575254,26.512328767123286,-7.380821917808219,0
10,38138.40065378947,108444.19541997783,37.04931506849315,-6.293150684931507,0
11,23048.734607813065,147835.4397169231,52.74794520547945,-7.391780821917808,1
12,23014.053696446146,301193.98087427556,57.20821917808219,-6.2465753424657535,0
13,33629.43407349051,211601.7339251956,48.893150684931506,-1.8767123287671232,0
14,1300.796330133031,200177.56366351826,47.863013698630134,-4.7835616438356166,1
15,4126.232512304508,178680.8296475215,58.47123287671233,-0.4520547945205479,1
16,21565.68706138541,148464.8674571683,59.654794520547945,-2.9205479452054797,1
17,14807.533194983644,190279.11788468083,45.706849315068496,-1.0191780821917809,0
18,34713.709988929106,248721.13695828556,38.701369863013696,-3.506849315068493,0
19,16379.638867181837,199216.10203095005,25.073972602739726,-5.419178082191781,0
20,8815.444479970629,230514.2042946524,59.71780821917808,-7.454794520547945,1
21,51984.73153382331,288285.35742532817,58.93698630136986,-8.684931506849315,0
22,26613.355492701965,170976.09097769036,41.320547945205476,-1.4109589041095891,1
23,31012.92307031886,215143.7450329221,26.024657534246575,-2.5753424657534247,0
24,8628.77720679815,250219.6780467839,23.4,-9.624657534246575,0
25,21834.25913212226,153354.81832667015,44.99178082191781,-7.556164383561644,0
26,31663.83884564799,208902.64140329024,28.013698630136986,-1.6684931506849314,0
27,12735.096338665458,293616.226231318,21.986301369863014,-8.123287671232877,0
28,35635.47027518508,182987.48097700923,49.21643835616438,-0.7452054794520548,0
29,20990.419651217926,253417.32690018948,20.534246575342465,-5.624657534246575,0
30,25624.59375310085,192943.1561395114,57.8,-2.882191780821918,0
